title,year,genre,rating,votes,plot,tags
Raiden,1990,"action, sci-fi",6.5,41,Aliens have invaded earth. You must fly in your Raiden ship to take down the aliens.,"['singleplayer', 'multiplayer', 'co-op']"
Kid Chameleon,1992,"action, adventure, fantasy",6.5,112,"Kid Chameleon, An ordinary kid given strange and new fantastic powers through the use of magical masks, Using the masks transforms him into super unstoppable heros to bring the villain of a new arcade game to justice.","['singleplayer', 'multiplayer']"
Young Justice: Legacy,2013,"action, adventure, family",6.5,154,"A renowned archaeologist, Dr. Helena Sandsmark, is kidnapped, and the Young Justice team tracks a group of the Light's most notorious villains around the globe in an effort to rescue her. ...                See full summary »","['singleplayer',  'multiplayer', 'rpg', 'co-op', 'partial controller support', 'steam leaderboards', 'split screen', 'role-playing', 'puzzles', 'superhero']"
Assassin's Creed: Bloodlines,2009,"action, adventure, history",6.5,307,"Direct sequel to Assassin's Creed (2007), depicting the journey of the Assassin Altaïr Ibn-La'Ahad to the island of Cyprus.",['exclusive']
Slender: The Eight Pages,2012,horror,6.5,590,"A young girl must collect 8 pages scattered throughout a forest, while evading a malevolent creature who wants to kill her.","['horror', 'survival', 'online']"
Renegade Ops,2011,"action, mystery, thriller",6.5,39,Missing,"['singleplayer',  'multiplayer', 'full controller support', 'co-op', 'online co-op', 'steam leaderboards', 'split screen', 'local co-op', 'controller', 'local multiplayer', 'top-down', ""shoot 'em up"", 'twin stick shooter']"
Game & Watch Gallery 4,2002,"action, fantasy, history",6.5,16,The fourth game in the Game and Watch Gallery series.,['top-down']
Epic Mickey 2: The Power of Two,2012,"animation, action, adventure",6.5,249,"The Mad Doctor returns, claiming to have mended his evil ways, but Oswald the Lucky Rabbit is suspicious and, with the help of Mickey Mouse, tries to uncover the truth behind this reformation.","['singleplayer',    'co-op', 'partial controller support', 'horror', 'family friendly']"
Blade & Soul,2012,fantasy,6.5,36,The game is a Korean fantasy action-combat MMORPG from NCSOFT where martial arts and mythology meet in a furious clash of fists and steel.,"['singleplayer', 'exclusive']"
U.S. Championship V'Ball,1988,sport,6.5,10,Missing,"['simultaneously', 'up to 4 players']"
